Tp,Hs,Uw,Op
6,1.02,6.80166666666667,1
5.88,1.06,6.13666666666667,1
5.83,1.07,6.04666666666667,1
5.53,1.09,6.19666666666667,1
5.41,1.08,6.495,1
5.12,1.12,6.27666666666667,1
5.39,1.02,5.53,1
5.54,1.04,5.665,1
5.75,1.01,5.92833333333333,1
5.97,0.95,5.8,1
6.04,0.9,5.91166666666667,1
6.06,0.99,5.94166666666667,1
6.01,0.87,5.67333333333333,1
5.87,0.83,5.5,1
5.64,0.74,5.02,1
3.85,0.76,4.92,1
4.73,0.73,4.21666666666667,1
4.97,0.64,3.74833333333333,1
4.58,0.63,3.15666666666667,1
4.9,0.61,2.97833333333333,2
4.75,0.57,1.77333333333333,2
5.3,0.58,0.768333333333333,2
5.44,0.53,1.55666666666667,2
5.44,0.51,1.875,2
5.49,0.45,2.69,2
5.47,0.45,3.28666666666667,1
4.78,0.44,3.76833333333333,1
4.88,0.46,3.84833333333333,1
6.11,0.48,3.54833333333333,1
5.79,0.47,2.99333333333333,2
5.42,0.56,4.97166666666667,1
5.1,0.57,5.555,1
5.27,0.57,5.32833333333333,1
5.38,0.57,5.03,1
5.3,0.55,3.88833333333333,1
4.4,0.54,2.98833333333333,2
5.04,0.48,3.35166666666667,1
4.6,0.53,3.36666666666667,1
2.98,0.56,3.4,1
3.23,0.61,3.19166666666667,1
3.8,0.65,2.81833333333333,2
4.17,0.68,3.38666666666667,1
4.28,0.66,3.47333333333333,1
4.33,0.63,3.355,1
4.3,0.6,3.185,1
3.87,0.57,4.045,1
3.78,0.52,3.94333333333333,1
3.44,0.49,4.33833333333333,1
3.25,0.49,6.85833333333333,1
3,0.44,4.97833333333333,1
2.97,0.52,4.25666666666667,1
3.2,0.56,8.55,1
3.49,0.65,8.51333333333333,1
3.82,0.64,6.535,1
4.04,0.67,6.01,1
4.2,0.59,6.205,1
4.2,0.58,6.16333333333333,1
4.01,0.53,5.66333333333333,1
3.9,0.48,5.12666666666667,1
3.79,0.46,4.03833333333333,1
3.79,0.49,5.11166666666667,1
3.57,0.47,5.62166666666667,1
3.7,0.42,5.26,1
3.81,0.48,4.11166666666667,1
3.69,0.44,3.09666666666667,1
3.75,0.44,3.525,1
4.03,0.41,2.23333333333333,2
3.83,0.4,2.89666666666667,2
3.87,0.39,3.54833333333333,1
3.6,0.36,3.88833333333333,1
3.45,0.36,4.64,1
3.18,0.3,4.79833333333333,1
2.93,0.3,4.43166666666667,1
2.76,0.29,5.73833333333333,1
2.57,0.27,5.61333333333333,1
2.43,0.26,3.17833333333333,1
5.73,0.25,2.95833333333333,2
2.33,0.21,2.54333333333333,2
2.49,0.25,1.95666666666667,2
3.81,0.21,1.54166666666667,2
3.15,0.23,1.005,2
4.86,0.23,1.885,2
4.58,0.18,2.76833333333333,2
4.14,0.21,3.64166666666667,1
5.25,0.21,4.35333333333333,1
5.04,0.23,4.25,1
3.91,0.23,4.16,1
6.23,0.15,2.99833333333333,2
4.19,0.16,2.17333333333333,2
3.24,0.16,2.675,2
6.69,0.14,2.46166666666667,2
4.83,0.14,2.44333333333333,2
3.42,0.14,2.96166666666667,2
3.74,0.24,3.92333333333333,1
5.7,0.18,3.67666666666667,1
4.84,0.23,4.695,1
6.9,0.17,5.995,1
4.09,0.19,6.85166666666667,1
6.16,0.24,8.23,1
5.24,0.26,8.825,1
2.06,0.28,9.28,1
2.48,0.34,6.85166666666667,1
2.7,0.35,5.78,1
2.87,0.37,4.7,1
3.04,0.33,4.025,1
3.01,0.3,3.99333333333333,1
2.96,0.28,4.01833333333333,1
3.26,0.3,4.48166666666667,1
2.81,0.28,5.685,1
2.65,0.27,5.74666666666667,1
2.56,0.29,5.80666666666667,1
2.48,0.3,5.46333333333333,1
2.45,0.38,5.69166666666667,1
2.53,0.36,4.34833333333333,1
2.67,0.31,3.06333333333333,1
2.91,0.28,3.79666666666667,1
2.97,0.35,3.61833333333333,1
3.34,0.32,4.42666666666667,1
3.46,0.32,4.88833333333333,1
15.28,0.39,4.22166666666667,1
15.48,0.38,3.13333333333333,1
15.49,0.44,2.46,2
15.79,0.4,4.00166666666667,1
15.36,0.45,5.69,1
15.29,0.46,5.335,1
14.6,0.39,4.95666666666667,1
15.09,0.36,4.61333333333333,1
14.7,0.38,3.87833333333333,1
14.36,0.37,3.50833333333333,1
14.9,0.36,3.455,1
14.42,0.39,3.75,1
14.23,0.36,4.395,1
14.13,0.36,3.79833333333333,1
14.36,0.36,3.82333333333333,1
14.38,0.32,3.66666666666667,1
13.88,0.35,3.71333333333333,1
14.72,0.33,3.32,1
14.23,0.34,3.975,1
13.59,0.32,3.98,1
13.38,0.31,4.38833333333333,1
13.29,0.33,4.3,1
12.87,0.33,4.69,1
13.05,0.35,5.22166666666667,1
13.29,0.38,5.34,1
2.85,0.42,3.015,1
2.88,0.42,2.52666666666667,2
3.25,0.42,2.075,2
13,0.45,1.13333333333333,2
11.56,0.38,2.71,2
3.64,0.35,1.465,2
11.9,0.33,2.54166666666667,2
12.25,0.3,2.01833333333333,2
11.53,0.32,3.01666666666667,1
11.97,0.35,5.60666666666667,1
11.36,0.36,7.475,1
2.99,0.51,8.88166666666667,1
3.54,0.84,9.59,1
3.88,0.95,7.64833333333333,1
4.29,0.95,5.675,1
4.34,0.79,5.31833333333333,1
4.5,0.71,5.36666666666667,1
4.38,0.67,4.69166666666667,1
4.2,0.6,4.635,1
3.94,0.58,4.225,1
3.65,0.56,5.145,1
4.13,0.56,5.655,1
3.69,0.6,5.405,1
3.67,0.66,4.78666666666667,1
3.57,0.59,4.61166666666667,1
3.65,0.58,5.16666666666667,1
3.58,0.62,5.19,1
4.67,0.71,4.70333333333333,1
4.91,0.74,4.82833333333333,1
5.2,0.67,4.86333333333333,1
5.36,0.64,5.175,1
5.66,0.62,5.88833333333333,1
5,0.62,6.33166666666667,1
5.94,0.71,5.725,1
5.28,0.8,6.955,1
5.27,0.85,7.25333333333333,1
3.72,0.99,7.42166666666667,1
4.29,1.02,7.43333333333333,1
5.1,1.08,6.88833333333333,1
5.32,1.11,7.08,1
5.34,1.08,7.17666666666667,1
5.57,0.87,7.05,1
5.48,0.83,6.55333333333333,1
5.29,0.83,6.41833333333333,1
4.6,0.83,5.83166666666667,1
4.99,0.75,4.94333333333333,1
4.98,0.79,5.02333333333333,1
4.77,0.92,6.08166666666667,1
5.42,1.09,6.57166666666667,1
5.5,1.26,5.615,1
5.51,1.25,6.11333333333333,1
5.85,1.24,7.24333333333333,1
6.09,1.19,6.75166666666667,1
6.45,1.06,5.925,1
6.5,0.97,6.725,1
6.35,1.04,6.92666666666667,1
6.47,0.91,6.87166666666667,1
6.25,0.87,7.03,1
5.74,0.81,6.72166666666667,1
5.45,0.89,7.18166666666667,1
5.08,0.88,6.82333333333333,1
3.63,0.86,6.31666666666667,1
3.76,0.84,5.34166666666667,1
4.83,0.8,4.125,1
5.01,0.69,3.12666666666667,1
4.9,0.61,3.12,1
5.87,0.59,2.21333333333333,2
6.17,0.53,2.54666666666667,2
6.09,0.45,0.843333333333333,2
6.07,0.49,0.616666666666667,2
5.69,0.4,0.965,2
5.48,0.38,0.781666666666667,2
4.81,0.37,3.82166666666667,1
4.89,0.38,5.68833333333333,1
4.6,0.35,4.38166666666667,1
4.36,0.36,3.77,1
4.31,0.44,3.175,1
4.36,0.4,2.76,2
4.99,0.41,4.26166666666667,1
2.81,0.55,5.20666666666667,1
3.55,0.72,5.65666666666667,1
4.55,0.84,6.38166666666667,1
5.03,1.02,5.465,1
4.59,1.08,5.70833333333333,1
4.75,1.03,6.06,1
4.63,1.22,7.53166666666667,1
4.84,1.19,7.39166666666667,1
5.14,1.14,7.02333333333333,1
5.35,1.16,7.05,1
5.61,1.23,6.90166666666667,1
5.69,1.14,7.42,1
5.78,1.21,8.20166666666667,1
5.87,1.29,8.04166666666667,1
6.32,1.36,7.31833333333333,1
7.15,1.39,7.54666666666667,1
6.91,1.4,7.98166666666667,1
6.36,1.6,8.915,1
6.17,1.58,8.57,1
6.66,1.61,8.345,1
7.13,1.71,7.79833333333333,1
7.17,1.61,6.95666666666667,1
6.26,1.57,8.37833333333333,1
7.33,1.72,5.83833333333333,1
7.09,1.62,4.075,1
7.52,1.72,7.275,1
7.44,1.64,8.70833333333333,1
7.14,1.61,6.97166666666667,1
7.17,1.58,6.085,1
6.79,1.58,5.88,1
6.72,1.48,6.65333333333333,1
6.11,1.56,6.19166666666667,1
6.26,1.49,6.015,1
11.81,1.47,6.51,1
11.57,1.64,6.53833333333333,1
11.42,1.7,6.69333333333333,1
11.49,1.44,6.5,1
11.48,1.62,7.71666666666667,1
11.51,1.73,8.95833333333333,1
11.21,1.59,8.25833333333333,1
11.38,1.6,10.4866666666667,1
11.34,1.78,11.065,1
5.55,2.09,10.605,1
5.84,2.13,8.985,1
5.8,2.06,10.5783333333333,1
5.69,2.02,14.6383333333333,1
5.95,2.18,15.545,1
5.81,2.24,13.0666666666667,1
6.49,2.47,12.7316666666667,1
6.58,2.33,13.2416666666667,1
6.87,2.37,13.7333333333333,1
7.06,2.52,12.615,1
7.33,2.63,12.2116666666667,1
7.61,2.74,11.4416666666667,1
7.39,2.66,11.5666666666667,1
7.77,2.59,11.12,1
7.49,2.84,10.7566666666667,1
7.59,2.45,10.6583333333333,1
7.43,2.28,10.4783333333333,1
7.74,2.16,9.69,1
7.82,2.02,8.25666666666667,1
8.01,1.91,8.61666666666667,1
7.38,1.86,8.63333333333333,1
7.56,1.61,6.58833333333333,1
7.47,1.62,7.04333333333333,1
7.56,1.73,7.45333333333333,1
7.09,1.55,7.30833333333333,1
7.03,1.64,8.49833333333333,1
6.31,1.63,9.10333333333333,1
7.03,1.51,8.465,1
6.37,1.47,9.28166666666667,1
5.81,1.53,9.08333333333333,1
6.4,1.51,8.35,1
6.58,1.35,8.12,1
6.43,1.41,8.49166666666667,1
5.97,1.37,8.45666666666667,1
5.89,1.25,9.805,1
5.94,1.44,10.66,1
5.87,1.62,12.315,1
5.47,1.65,13.1816666666667,1
5.42,1.76,14.63,1
5.29,2.03,15.8616666666667,1
5.85,1.95,16.0616666666667,1
6.39,2.19,13.2383333333333,1
6.19,1.96,9.18666666666667,1
6.36,1.78,6.135,1
6.94,1.58,5.21833333333333,1
7.02,1.49,9.40833333333333,1
5.8,1.69,10.9733333333333,1
7.17,1.69,9.87166666666667,1
6.27,1.78,11.155,1
5.37,1.79,9.19666666666667,1
5.79,1.8,7.60333333333333,1
5.9,1.75,9.965,1
